,Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Repository Age (days),Created Year
0,awesome,sindresorhus,😎 awesome lists about all kinds of interesting topics,https://api.github.com/repos/sindresorhus/awesome,Python,2014-07-11 13:42:37+00:00,2024-10-05 09:13:34+00:00,327296,27758,53,User,3738,2014
1,Python,thealgorithms,all algorithms implemented in python,https://api.github.com/repos/TheAlgorithms/Python,Python,2016-07-16 09:44:01+00:00,2024-10-05 09:21:04+00:00,186810,44667,216,Organization,3002,2016
2,30-seconds-of-code,chalarangelo,short code snippets for all your development needs,https://api.github.com/repos/Chalarangelo/30-seconds-of-code,JavaScript,2017-11-29 17:35:03+00:00,2024-10-05 08:37:42+00:00,121398,12016,0,User,2501,2017
3,terminal,microsoft,"the new windows terminal and the original windows console host, all in the same place!",https://api.github.com/repos/microsoft/terminal,C++,2017-08-11 18:38:22+00:00,2024-10-05 09:13:57+00:00,95153,8253,1556,Organization,2611,2017
4,iptv,iptv-org,collection of publicly available iptv channels from all over the world,https://api.github.com/repos/iptv-org/iptv,JavaScript,2018-11-14 22:00:57+00:00,2024-10-05 09:08:34+00:00,84954,2503,33,Organization,2151,2018
5,realworld,gothinkster,"""the mother of all demo apps"" — exemplary fullstack medium.com clone powered by react, angular, node, django, and many more",https://api.github.com/repos/gothinkster/realworld,TypeScript,2016-02-26 20:49:53+00:00,2024-10-05 08:02:47+00:00,80384,7313,59,Organization,3143,2016
6,LeetCodeAnimation,misterbooo,demonstrate all the questions on leetcode in the form of animation.（用动画的形式呈现解leetcode题目的思路）,https://api.github.com/repos/MisterBooo/LeetCodeAnimation,Java,2018-12-06 08:01:22+00:00,2024-10-05 02:43:54+00:00,75394,13971,18,User,2130,2018
7,bun,oven-sh,"incredibly fast javascript runtime, bundler, test runner, and package manager – all in one",https://api.github.com/repos/oven-sh/bun,Zig,2021-04-14 00:48:17+00:00,2024-10-05 08:40:24+00:00,73537,2713,3734,Organization,1270,2021
8,gpt4all,nomic-ai,gpt4all: run local llms on any device. open-source and available for commercial use.,https://api.github.com/repos/nomic-ai/gpt4all,C++,2023-03-27 18:49:32+00:00,2024-10-05 08:18:19+00:00,69729,7625,596,Organization,557,2023
9,ML-For-Beginners,microsoft,"12 weeks, 26 lessons, 52 quizzes, classic machine learning for all",https://api.github.com/repos/microsoft/ML-For-Beginners,HTML,2021-03-03 01:34:05+00:00,2024-10-05 08:56:05+00:00,69307,14342,7,Organization,1312,2021
10,PayloadsAllTheThings,swisskyrepo,a list of useful payloads and bypass for web application security and pentest/ctf,https://api.github.com/repos/swisskyrepo/PayloadsAllTheThings,Python,2016-10-18 07:29:07+00:00,2024-10-05 08:51:45+00:00,60411,14530,29,User,2909,2016
11,Java,thealgorithms,all algorithms implemented in java,https://api.github.com/repos/TheAlgorithms/Java,Java,2016-07-16 10:21:02+00:00,2024-10-05 08:43:24+00:00,59130,19104,48,Organization,3002,2016
