,Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Repository Age (days),Created Year
0,fuel-core,fuellabs,rust full node implementation of the fuel v2 protocol.,https://api.github.com/repos/FuelLabs/fuel-core,Rust,2020-08-27 21:12:14+00:00,2024-10-02 14:04:15+00:00,58149,2769,188,Organization,1496,2020
1,go-ethereum,ethereum,go implementation of the ethereum protocol,https://api.github.com/repos/ethereum/go-ethereum,Go,2013-12-26 13:05:46+00:00,2024-10-02 15:53:52+00:00,47289,20021,305,Organization,3933,2013
2,bitcoinbook,bitcoinbook,mastering bitcoin 3rd edition - programming the open blockchain,https://api.github.com/repos/bitcoinbook/bitcoinbook,HTML,2013-08-11 23:18:28+00:00,2024-10-02 04:23:01+00:00,23452,5971,167,Organization,4069,2013
3,hey,heyxyz,hey is a decentralized and permissionless social media app built with lens protocol 🌿,https://api.github.com/repos/heyxyz/hey,TypeScript,2022-03-19 15:01:46+00:00,2024-10-02 15:58:58+00:00,23281,1532,101,Organization,928,2022
4,solidity,ethereum,"solidity, the smart contract programming language",https://api.github.com/repos/ethereum/solidity,C++,2015-08-17 12:27:26+00:00,2024-10-02 15:55:34+00:00,23130,5736,504,Organization,3334,2015
5,ethereumbook,ethereumbook,"mastering ethereum, by andreas m. antonopoulos, gavin wood",https://api.github.com/repos/ethereumbook/ethereumbook,JavaScript,2016-08-10 15:07:54+00:00,2024-10-02 15:05:02+00:00,19817,4913,120,Organization,2975,2016
6,awesome-blockchain-cn,chaozh,收集所有区块链(blockchain)技术开发相关资料，包括fabric和ethereum开发资料,https://api.github.com/repos/chaozh/awesome-blockchain-cn,JavaScript,2017-03-12 06:02:46+00:00,2024-10-01 04:35:47+00:00,18394,3607,4,User,2761,2017
7,gun,amark,an open source cybersecurity protocol for syncing decentralized graph data.,https://api.github.com/repos/amark/gun,JavaScript,2014-07-31 15:52:10+00:00,2024-10-02 09:39:57+00:00,18071,1163,310,User,3716,2014
8,diem,diem,diem’s mission is to build a trusted and innovative financial network that empowers people and businesses around the world.,https://api.github.com/repos/diem/diem,Rust,2019-04-02 21:51:45+00:00,2024-09-29 17:23:07+00:00,16700,2578,361,Organization,2009,2019
9,fabric,hyperledger,hyperledger fabric is an enterprise-grade permissioned distributed ledger framework for developing solutions and applications. its modular and versatile design satisfies a broad range of industry use cases. it offers a unique approach to consensus that enables performance at scale while preserving privacy.,https://api.github.com/repos/hyperledger/fabric,Go,2016-08-25 16:05:27+00:00,2024-10-02 14:29:03+00:00,15674,8827,185,Organization,2959,2016
10,shardeum,shardeum,shardeum is an evm based autoscaling blockchain,https://api.github.com/repos/shardeum/shardeum,TypeScript,2024-04-16 22:37:25+00:00,2024-10-02 16:00:11+00:00,14086,289,27,Organization,168,2024
