,Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Repository Age (days),Created Year
0,sherlock,sherlock-project,hunt down social media accounts by username across social networks,https://api.github.com/repos/sherlock-project/sherlock,Python,2018-12-24 14:30:48+00:00,2024-10-02 15:06:24+00:00,59188,6781,227,Organization,2109,2018
1,x64dbg,x64dbg,an open-source user mode debugger for windows. optimized for reverse engineering and malware analysis.,https://api.github.com/repos/x64dbg/x64dbg,C++,2015-04-11 20:48:23+00:00,2024-10-02 14:56:06+00:00,44462,2412,600,Organization,3461,2015
2,ImHex,werwolv,"🔍 a hex editor for reverse engineers, programmers and people who value their retinas when working at 3 am.",https://api.github.com/repos/WerWolv/ImHex,C++,2020-11-10 14:27:00+00:00,2024-10-02 15:01:26+00:00,43974,1918,224,User,1422,2020
3,h4cker,the-art-of-hacking,"this repository is primarily maintained by omar santos (@santosomar) and includes thousands of resources related to ethical hacking, bug bounties, digital forensics and incident response (dfir), artificial intelligence security, vulnerability research, exploit development, reverse engineering, and more.",https://api.github.com/repos/The-Art-of-Hacking/h4cker,Jupyter Notebook,2017-06-19 17:11:19+00:00,2024-10-02 13:28:28+00:00,18452,3294,3,Organization,2661,2017
4,gun,amark,an open source cybersecurity protocol for syncing decentralized graph data.,https://api.github.com/repos/amark/gun,JavaScript,2014-07-31 15:52:10+00:00,2024-10-02 09:39:57+00:00,18071,1163,310,User,3716,2014
5,personal-security-checklist,lissy93,🔒 a compiled checklist of 300+ tips for protecting digital security and privacy in 2024,https://api.github.com/repos/Lissy93/personal-security-checklist,TypeScript,2018-03-02 21:12:37+00:00,2024-10-02 15:35:25+00:00,16835,1173,44,User,2405,2018
6,opennhp,opennhp,zero trust network hiding protocol (nhp) open source implementation. opennhp docs: https://opennhp.org/,https://api.github.com/repos/OpenNHP/opennhp,Go,2014-08-04 14:23:37+00:00,2024-09-30 20:12:06+00:00,13489,2484,1,Organization,3712,2014
7,SWE-agent,princeton-nlp,"swe-agent takes a github issue and tries to automatically fix it, using gpt-4, or your lm of choice. it can also be employed for offensive cybersecurity or competitive coding challenges.",https://api.github.com/repos/princeton-nlp/SWE-agent,Python,2024-04-02 04:09:47+00:00,2024-10-02 09:45:45+00:00,13387,1321,69,Organization,183,2024
8,spiderfoot,smicallef,spiderfoot automates osint for threat intelligence and mapping your attack surface.,https://api.github.com/repos/smicallef/spiderfoot,Python,2012-04-28 07:10:13+00:00,2024-10-02 13:32:59+00:00,12789,2234,192,User,4540,2012
9,SafeLine,chaitin,serve as a reverse proxy to protect your web services from attacks and exploits.,https://api.github.com/repos/chaitin/SafeLine,Go,2023-04-12 11:30:14+00:00,2024-10-02 14:23:18+00:00,12067,749,32,Organization,539,2023
10,Reverse-Engineering,mytechnotalent,"a free comprehensive reverse engineering tutorial covering x86, x64, 32-bit/64-bit arm and embedded risc-v architectures.",https://api.github.com/repos/mytechnotalent/Reverse-Engineering,Assembly,2020-02-14 12:53:45+00:00,2024-10-02 15:21:01+00:00,11052,1004,0,User,1692,2020
11,vuls,future-architect,"agent-less vulnerability scanner for linux, freebsd, container, wordpress, programming language libraries, network devices",https://api.github.com/repos/future-architect/vuls,Go,2016-03-27 02:29:09+00:00,2024-10-02 10:55:57+00:00,10927,1160,79,Organization,3111,2016
12,test-your-sysadmin-skills,trimstray,a collection of linux sysadmin test questions and answers. test your knowledge and skills in different fields with these q/a.,https://api.github.com/repos/trimstray/test-your-sysadmin-skills,Python,2018-08-09 12:58:39+00:00,2024-10-02 14:01:26+00:00,10664,1410,18,User,2246,2018
13,wazuh,wazuh,wazuh - the open source security platform. unified xdr and siem protection for endpoints and cloud workloads.,https://api.github.com/repos/wazuh/wazuh,C++,2015-08-11 17:39:03+00:00,2024-10-02 15:45:48+00:00,10534,1616,2692,Organization,3339,2015
14,Sn1per,1n3,attack surface management platform,https://api.github.com/repos/1N3/Sn1per,Shell,2015-09-06 15:47:38+00:00,2024-10-02 15:49:40+00:00,7976,1834,7,User,3314,2015
15,berty,berty,"berty is a secure peer-to-peer messaging app that works with or without internet access, cellular data or trust in the network",https://api.github.com/repos/berty/berty,Go,2018-07-16 05:21:19+00:00,2024-10-01 19:15:00+00:00,7561,384,93,Organization,2270,2018
16,awesome-incident-response,meirwah,a curated list of tools for incident response,https://api.github.com/repos/meirwah/awesome-incident-response,Python,2015-11-10 22:10:58+00:00,2024-10-02 08:41:49+00:00,7558,1519,16,User,3248,2015
17,httpx,projectdiscovery,httpx is a fast and multi-purpose http toolkit that allows running multiple probes using the retryablehttp library.,https://api.github.com/repos/projectdiscovery/httpx,Go,2020-05-28 22:51:24+00:00,2024-10-02 11:24:43+00:00,7535,823,31,Organization,1587,2020
18,awesome-ml-for-cybersecurity,jivoi,:octocat: machine learning for cyber security,https://api.github.com/repos/jivoi/awesome-ml-for-cybersecurity,Python,2016-12-20 12:46:36+00:00,2024-10-02 13:00:46+00:00,7190,1749,12,User,2843,2016
19,pyWhat,bee-san,"🐸   identify anything. pywhat easily lets you identify emails, ip addresses, and more. feed it a .pcap file or some text and it'll tell you what it is! 🧙‍♀️",https://api.github.com/repos/bee-san/pyWhat,Python,2021-03-19 20:59:05+00:00,2024-10-02 15:21:22+00:00,6542,349,25,User,1292,2021
20,bunkerweb,bunkerity,🛡️ open-source and next-generation web application firewall (waf),https://api.github.com/repos/bunkerity/bunkerweb,Python,2019-08-20 21:20:48+00:00,2024-10-02 14:40:26+00:00,6246,349,74,Organization,1869,2019
21,90DaysOfCyberSecurity,farhanashrafdev,"this repository contains a 90-day cybersecurity study plan, along with resources and materials for learning various cybersecurity concepts and technologies. the plan is organized into daily tasks, covering topics such as network+, security+, linux, python, traffic analysis, git, elk, aws, azure, and hacking. the repository also includes a `learn.md",https://api.github.com/repos/farhanashrafdev/90DaysOfCyberSecurity,Python,2023-01-22 14:42:29+00:00,2024-10-02 12:03:54+00:00,6213,690,44,User,619,2023
22,opencti,opencti-platform,open cyber threat intelligence platform,https://api.github.com/repos/OpenCTI-Platform/opencti,TypeScript,2018-12-17 22:57:34+00:00,2024-10-02 15:27:31+00:00,6211,921,1243,Organization,2115,2018
23,RedTeam-Tools,a-poc,tools and techniques for red team / penetration testing,https://api.github.com/repos/A-poc/RedTeam-Tools,Python,2022-09-19 10:20:29+00:00,2024-10-02 13:08:17+00:00,5865,805,0,User,744,2022
24,awesome-youtubers,josedefreitas,"an awesome list of awesome youtubers that teach about technology. tutorials about web development, computer science, machine learning, game development, cybersecurity, and more.",https://api.github.com/repos/JoseDeFreitas/awesome-youtubers,Markdown,2020-08-25 14:18:15+00:00,2024-10-02 15:57:45+00:00,5684,412,3,User,1499,2020
25,DevSecOps,sottlmarek,ultimate devsecops library,https://api.github.com/repos/sottlmarek/DevSecOps,Python,2018-06-27 20:45:44+00:00,2024-10-02 14:15:52+00:00,5674,992,7,User,2288,2018
26,DefaultCreds-cheat-sheet,ihebski,one place for all the default credentials to assist the blue/red teamers activities on finding devices with default password 🛡️,https://api.github.com/repos/ihebski/DefaultCreds-cheat-sheet,Python,2021-01-01 19:02:36+00:00,2024-10-02 06:11:25+00:00,5569,683,0,User,1369,2021
27,caldera,mitre,automated adversary emulation platform,https://api.github.com/repos/mitre/caldera,Python,2017-11-29 01:25:10+00:00,2024-10-02 15:14:34+00:00,5538,1055,49,Organization,2499,2017
28,Awesome-GPT-Agents,fr0gger,a curated list of gpt agents for cybersecurity,https://api.github.com/repos/fr0gger/Awesome-GPT-Agents,Python,2023-11-11 02:30:01+00:00,2024-10-02 11:58:50+00:00,5434,600,3,User,326,2023
29,awesome-security-hardening,decalage2,"a collection of awesome security hardening guides, tools and other resources",https://api.github.com/repos/decalage2/awesome-security-hardening,Python,2019-04-29 12:13:07+00:00,2024-10-02 14:13:02+00:00,5421,575,83,User,1983,2019
