,Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Repository Age (days),Created Year
0,PythonDataScienceHandbook,jakevdp,python data science handbook: full text in jupyter notebooks,https://api.github.com/repos/jakevdp/PythonDataScienceHandbook,Jupyter Notebook,2016-08-10 14:24:36+00:00,2024-10-02 14:03:36+00:00,42865,17851,211,User,2975,2016
1,Data-Science-For-Beginners,microsoft,"10 weeks, 20 lessons, data science for all!",https://api.github.com/repos/microsoft/Data-Science-For-Beginners,Jupyter Notebook,2021-03-03 16:30:15+00:00,2024-10-02 14:47:32+00:00,27849,5755,55,Organization,1308,2021
2,data-science-ipython-notebooks,donnemartin,"data science python notebooks: deep learning (tensorflow, theano, caffe, keras), scikit-learn, kaggle, big data (spark, hadoop mapreduce, hdfs), matplotlib, pandas, numpy, scipy, python essentials, aws, and various command lines.",https://api.github.com/repos/donnemartin/data-science-ipython-notebooks,Python,2015-01-23 19:38:29+00:00,2024-10-02 07:07:52+00:00,27238,7847,39,User,3539,2015
3,applied-ml,eugeneyan,📚 papers & tech blogs by companies sharing their work on data science & machine learning in production.,https://api.github.com/repos/eugeneyan/applied-ml,Python,2020-07-04 18:57:47+00:00,2024-10-02 14:58:13+00:00,27196,3673,2,User,1550,2020
4,go,datasciencemasters,the open source data science masters,https://api.github.com/repos/datasciencemasters/go,Python,2013-08-14 08:33:55+00:00,2024-10-02 11:51:28+00:00,24871,6169,40,Organization,4067,2013
5,awesome-datascience,academic,:memo: an awesome data science repository to learn and apply for real world problems.,https://api.github.com/repos/academic/awesome-datascience,Python,2014-07-05 07:07:43+00:00,2024-10-02 15:45:44+00:00,24815,5872,0,Organization,3742,2014
6,data-science,ossu,📊 path to a free self-taught education in data science!,https://api.github.com/repos/ossu/data-science,Python,2016-06-19 15:15:36+00:00,2024-10-02 15:09:24+00:00,18912,3324,2,Organization,3027,2016
7,ds-cheatsheets,faviovazquez,list of data science cheatsheets to rule the world,https://api.github.com/repos/FavioVazquez/ds-cheatsheets,Python,2018-12-20 17:02:46+00:00,2024-10-02 15:10:44+00:00,14489,3799,13,User,2112,2018
8,Virgilio,virgili0,your new mentor for data science e-learning.,https://api.github.com/repos/virgili0/Virgilio,Jupyter Notebook,2019-03-12 18:45:36+00:00,2024-10-02 12:30:52+00:00,13923,2487,25,Organization,2030,2019
9,kedro,kedro-org,"kedro is a toolbox for production-ready data science. it uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.",https://api.github.com/repos/kedro-org/kedro,Python,2019-04-18 10:29:56+00:00,2024-10-02 10:32:53+00:00,9877,894,287,Organization,1994,2019
10,Ai-Learn,tangyudi,"人工智能学习路线图，整理近200个实战案例与项目，免费提供配套教材，零基础入门，就业实战！包括：python，数学，机器学习，数据分析，深度学习，计算机视觉，自然语言处理，pytorch tensorflow machine-learning,deep-learning data-analysis data-mining mathematics data-science artificial-intelligence python tensorflow tensorflow2 caffe keras pytorch algorithm numpy pandas matplotlib seaborn nlp cv等热门领域",https://api.github.com/repos/tangyudi/Ai-Learn,Python,2020-01-28 01:55:06+00:00,2024-10-02 15:41:59+00:00,9619,2223,20,User,1709,2020
11,PySyft,openmined,perform data science on data that remains in someone else's server,https://api.github.com/repos/OpenMined/PySyft,Python,2017-07-18 20:41:16+00:00,2024-10-02 05:44:43+00:00,9451,1992,37,Organization,2632,2017
12,gop,goplus,"the go+ programming language is designed for engineering, stem education, and data science. our vision is to enable everyone to become a builder of the digital world.",https://api.github.com/repos/goplus/gop,Go,2015-12-12 01:21:39+00:00,2024-10-02 13:26:07+00:00,8931,546,38,Organization,3217,2015
13,gridstudio,ricklamers,grid studio is a web-based application for data science with full integration of open source data science frameworks and languages.,https://api.github.com/repos/ricklamers/gridstudio,JavaScript,2019-07-23 13:56:41+00:00,2024-09-25 07:59:33+00:00,8878,1503,43,User,1898,2019
14,data-science-interviews,alexeygrigorev,data science interview questions and answers,https://api.github.com/repos/alexeygrigorev/data-science-interviews,HTML,2020-03-02 19:06:53+00:00,2024-10-02 06:17:48+00:00,8805,1959,6,User,1674,2020
15,data-science-from-scratch,joelgrus,code for data science from scratch book,https://api.github.com/repos/joelgrus/data-science-from-scratch,Python,2014-11-09 02:31:24+00:00,2024-10-01 21:00:10+00:00,8623,4499,83,User,3615,2014
16,computer-science-flash-cards,jwasham,mini website for testing both general cs knowledge and enforce coding practice and common algorithm/data structure memorization.,https://api.github.com/repos/jwasham/computer-science-flash-cards,HTML,2016-06-29 23:16:12+00:00,2024-10-02 11:01:18+00:00,8416,2011,5,User,3016,2016
17,cookiecutter-data-science,drivendataorg,"a logical, reasonably standardized, but flexible project structure for doing and sharing data science work.",https://api.github.com/repos/drivendataorg/cookiecutter-data-science,Python,2015-10-30 19:19:57+00:00,2024-10-01 19:26:18+00:00,8227,2447,29,Organization,3259,2015
18,Data-Science-Notes,fengdu78,数据科学的笔记以及资料搜集,https://api.github.com/repos/fengdu78/Data-Science-Notes,Jupyter Notebook,2019-07-29 03:55:15+00:00,2024-10-02 13:27:53+00:00,8124,3120,14,User,1892,2019
19,metaflow,netflix,"open source platform for developing, scaling and deploying serious ml, ai, and data science systems",https://api.github.com/repos/Netflix/metaflow,Python,2019-09-17 17:48:25+00:00,2024-10-02 14:15:21+00:00,8087,762,324,Organization,1841,2019
20,industry-machine-learning,firmai,a curated list of applied machine learning and data science notebooks and libraries across different industries (by @firmai),https://api.github.com/repos/firmai/industry-machine-learning,Jupyter Notebook,2019-05-03 05:08:15+00:00,2024-10-01 22:34:25+00:00,7229,1204,1,User,1979,2019
21,data-scientist-roadmap,mrmimic,"toturials coming with the ""data science roadmap"" picture.",https://api.github.com/repos/MrMimic/data-scientist-roadmap,Jupyter Notebook,2017-06-05 06:30:08+00:00,2024-10-02 04:55:04+00:00,6933,1905,0,User,2676,2017
22,The-Grand-Complete-Data-Science-Materials,krishnaik06,"10 weeks, 20 lessons, data science for all!",https://api.github.com/repos/krishnaik06/The-Grand-Complete-Data-Science-Materials,Python,2023-09-19 06:19:22+00:00,2024-10-02 14:04:25+00:00,6702,3501,61,User,379,2023
23,data-science-blogs,rushter,a curated list of data science blogs,https://api.github.com/repos/rushter/data-science-blogs,Python,2015-08-05 11:58:14+00:00,2024-10-02 16:01:40+00:00,6302,1786,12,User,3346,2015
24,machine-learning-mindmap,dformoso,"a mindmap summarising machine learning concepts, from data analysis to deep learning.",https://api.github.com/repos/dformoso/machine-learning-mindmap,Python,2017-08-10 04:29:24+00:00,2024-10-02 15:35:21+00:00,6110,1004,4,User,2610,2017
25,DataSciencePython,ujjwalkarn,common data analysis and machine learning tasks using python,https://api.github.com/repos/ujjwalkarn/DataSciencePython,Python,2015-10-06 15:26:08+00:00,2024-10-02 15:44:54+00:00,5238,1496,11,User,3284,2015
26,Data-Analysis,willkoehrsen,data science using python,https://api.github.com/repos/WillKoehrsen/Data-Analysis,Jupyter Notebook,2017-03-15 19:13:06+00:00,2024-10-02 00:55:04+00:00,5177,3640,36,User,2757,2017
27,datascience,geekywrites,this repository is a compilation of free resources for learning data science.,https://api.github.com/repos/geekywrites/datascience,Python,2021-01-27 13:02:06+00:00,2024-09-28 02:24:25+00:00,5077,523,7,User,1344,2021
28,Data-Science-Cheatsheet,aaronwangy,"a helpful 5-page machine learning cheatsheet to assist with exam reviews, interview prep, and anything in-between.",https://api.github.com/repos/aaronwangy/Data-Science-Cheatsheet,TeX,2021-02-05 06:01:57+00:00,2024-10-02 14:31:33+00:00,4907,706,6,User,1335,2021
