,Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Repository Age (days),Created Year
0,the-book-of-secret-knowledge,trimstray,"a collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",https://api.github.com/repos/trimstray/the-book-of-secret-knowledge,Go,2018-06-23 10:43:14+00:00,2024-10-02 15:52:53+00:00,144945,9472,75,User,2293,2018
1,free-for-dev,ripienaar,"a list of saas, paas and iaas offerings that have free tiers of interest to devops and infradev",https://api.github.com/repos/ripienaar/free-for-dev,HTML,2015-03-18 21:06:26+00:00,2024-10-02 15:53:01+00:00,88820,9614,12,User,3485,2015
2,netdata,netdata,"architected for speed. automated for easy. monitoring and troubleshooting, transformed!",https://api.github.com/repos/netdata/netdata,C,2013-06-17 18:39:10+00:00,2024-10-02 15:51:19+00:00,71115,5877,212,Organization,4124,2013
3,devops-exercises,bregman-arie,"linux, jenkins, aws, sre, prometheus, docker, python, ansible, git, kubernetes, terraform, openstack, sql, nosql, azure, gcp, dns, elastic, network, virtualization. devops interview questions",https://api.github.com/repos/bregman-arie/devops-exercises,Python,2019-10-03 17:31:21+00:00,2024-10-02 14:49:47+00:00,66098,14743,30,User,1825,2019
4,awesome-scalability,binhnguyennus,"the patterns of scalable, reliable, and performant large-scale systems",https://api.github.com/repos/binhnguyennus/awesome-scalability,Go,2017-12-27 03:46:40+00:00,2024-10-02 15:51:52+00:00,58399,6014,18,User,2471,2017
5,act,nektos,run your github actions locally 🚀,https://api.github.com/repos/nektos/act,Go,2019-01-02 19:53:43+00:00,2024-10-02 15:03:04+00:00,54296,1353,202,Organization,2099,2019
6,gitea,go-gitea,"git with a cup of tea! painless self-hosted all-in-one software development service, including git hosting, code review, team collaboration, package registry and ci/cd",https://api.github.com/repos/go-gitea/gitea,Go,2016-11-01 02:13:26+00:00,2024-10-02 11:31:42+00:00,44372,5430,2723,Organization,2892,2016
7,kong,kong,🦍 the cloud-native api gateway and ai gateway.,https://api.github.com/repos/Kong/kong,Lua,2014-11-17 23:56:08+00:00,2024-10-02 15:57:27+00:00,38977,4784,141,Organization,3606,2014
8,sentry,getsentry,developer-first error tracking and performance monitoring,https://api.github.com/repos/getsentry/sentry,Python,2010-08-30 22:06:41+00:00,2024-10-02 14:43:59+00:00,38688,4151,2860,Organization,5146,2010
9,cli,httpie,"🥧 httpie cli  — modern, user-friendly command-line http client for the api era. json support, colors, sessions, downloads, plugins & more.",https://api.github.com/repos/httpie/cli,Python,2012-02-25 12:39:13+00:00,2024-10-02 13:11:36+00:00,33536,3673,185,Organization,4603,2012
10,dokku,dokku,a docker-powered paas that helps you build and manage the lifecycle of applications,https://api.github.com/repos/dokku/dokku,Shell,2013-06-08 10:26:57+00:00,2024-10-02 15:45:44+00:00,28951,1912,48,Organization,4134,2013
11,90DaysOfDevOps,michaelcade,"this repository started out as a learning in public project for myself and has now become a structured learning map for many in the community. we have 3 years under our belt covering all things devops, including principles, processes, tooling and use cases surrounding this vast topic.",https://api.github.com/repos/MichaelCade/90DaysOfDevOps,Shell,2021-12-26 13:55:18+00:00,2024-10-02 15:40:50+00:00,26789,6279,7,User,1011,2021
12,docker_practice,yeasy,"learn and understand docker&container technologies, with real devops practice!",https://api.github.com/repos/yeasy/docker_practice,Go,2014-09-05 04:06:39+00:00,2024-10-02 13:41:18+00:00,24742,5735,10,User,3680,2014
13,awesome-sysadmin,awesome-foss,a curated list of amazingly awesome open-source sysadmin resources.,https://api.github.com/repos/awesome-foss/awesome-sysadmin,Go,2014-12-23 08:41:22+00:00,2024-10-02 15:47:47+00:00,24727,1419,31,Organization,3571,2014
14,jenkins,jenkinsci,jenkins automation server,https://api.github.com/repos/jenkinsci/jenkins,Java,2010-11-22 21:21:23+00:00,2024-10-02 15:03:18+00:00,23050,8711,92,Organization,5062,2010
15,lens,lensapp,lens - the way the world runs kubernetes,https://api.github.com/repos/lensapp/lens,Go,2018-11-12 06:28:56+00:00,2024-10-02 13:52:51+00:00,22484,1460,1067,Organization,2151,2018
16,watchtower,containrrr,a process for automating docker container base image updates.,https://api.github.com/repos/containrrr/watchtower,Go,2015-07-13 21:21:53+00:00,2024-10-02 13:31:08+00:00,18805,843,171,Organization,3368,2015
17,argo-cd,argoproj,declarative continuous deployment for kubernetes,https://api.github.com/repos/argoproj/argo-cd,Go,2018-02-09 11:12:01+00:00,2024-10-02 15:35:53+00:00,17566,5351,3472,Organization,2427,2018
18,sops,getsops,simple and flexible tool for managing secrets,https://api.github.com/repos/getsops/sops,Go,2015-08-13 22:11:00+00:00,2024-10-02 14:43:32+00:00,16559,865,409,Organization,3337,2015
19,wtf,wtfutil,the personal information dashboard for your terminal,https://api.github.com/repos/wtfutil/wtf,Go,2018-03-29 02:42:12+00:00,2024-10-02 10:18:45+00:00,15778,801,53,Organization,2379,2018
20,kubesphere,kubesphere,"the container platform tailored for kubernetes multi-cloud, datacenter, and edge management ⎈ 🖥 ☁️",https://api.github.com/repos/kubesphere/kubesphere,Go,2018-04-21 02:03:04+00:00,2024-10-02 12:43:47+00:00,15046,2143,508,Organization,2356,2018
21,apisix,apache,the cloud-native api gateway,https://api.github.com/repos/apache/apisix,Lua,2019-04-10 02:02:05+00:00,2024-10-02 12:12:36+00:00,14350,2494,460,Organization,2002,2019
22,onedev,theonedev,"git server with ci/cd, kanban, and packages. seamless integration. unparalleled experience.",https://api.github.com/repos/theonedev/onedev,Java,2018-11-06 02:57:01+00:00,2024-10-02 12:54:19+00:00,13228,854,0,Organization,2157,2018
