,Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Repository Age (days),Created Year
0,libgdx,libgdx,desktop/android/html5/ios java game development framework,https://api.github.com/repos/libgdx/libgdx,Java,2012-08-10 19:34:38+00:00,2024-10-02 14:23:12+00:00,23206,6430,306,Organization,4435,2012
1,cocos2d-x,cocos2d,"cocos2d-x is a suite of open-source, cross-platform, game-development tools utilized by millions of developers across the globe. its core has evolved to serve as the foundation for cocos creator 1.x & 2.x.",https://api.github.com/repos/cocos2d/cocos2d-x,C++,2010-11-18 23:17:00+00:00,2024-10-02 02:08:45+00:00,18162,7052,1607,Organization,5066,2010
2,magictools,ellisonleao,:video_game: :pencil: a list of game development resources to make magic happen.,https://api.github.com/repos/ellisonleao/magictools,C#,2014-07-17 21:27:07+00:00,2024-10-02 15:32:36+00:00,13484,1013,2,User,3729,2014
3,Hilo,hiloteam,a cross-end html5 game development solution,https://api.github.com/repos/hiloteam/Hilo,JavaScript,2015-07-06 07:11:41+00:00,2024-09-25 09:31:25+00:00,5931,862,28,Organization,3376,2015
4,GameFramework,ellanjiang,"this is literally a game framework, based on unity game engine. it encapsulates commonly used game modules during development, and, to a large degree, standardises the process, enhances the development speed and ensures the product quality.",https://api.github.com/repos/EllanJiang/GameFramework,C#,2017-02-26 06:17:27+00:00,2024-10-01 13:49:42+00:00,5820,1422,13,User,2775,2017
5,awesome-youtubers,josedefreitas,"an awesome list of awesome youtubers that teach about technology. tutorials about web development, computer science, machine learning, game development, cybersecurity, and more.",https://api.github.com/repos/JoseDeFreitas/awesome-youtubers,Markdown,2020-08-25 14:18:15+00:00,2024-10-02 15:57:45+00:00,5684,412,3,User,1499,2020
6,defold,defold,"defold is a completely free to use game engine for development of desktop, mobile and web games.",https://api.github.com/repos/defold/defold,C++,2012-05-13 16:03:44+00:00,2024-10-02 15:17:28+00:00,4134,297,1021,Organization,4524,2012
7,awesome-gbdev,gbdev,"a curated list of game boy development resources such as tools, docs, emulators, related projects and open-source roms.",https://api.github.com/repos/gbdev/awesome-gbdev,C#,2016-02-23 09:35:47+00:00,2024-10-02 13:11:37+00:00,3973,177,21,Organization,3144,2016
8,GameDev-Resources,kavex,:video_game: :game_die: a wonderful list of game development resources.,https://api.github.com/repos/Kavex/GameDev-Resources,C#,2016-10-30 21:02:50+00:00,2024-10-02 09:45:00+00:00,3939,375,0,User,2893,2016
9,jmonkeyengine,jmonkeyengine,a complete 3-d game development suite written in java.,https://api.github.com/repos/jMonkeyEngine/jmonkeyengine,Java,2014-03-20 22:29:28+00:00,2024-10-01 19:19:37+00:00,3796,1118,232,Organization,3848,2014
