,Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Repository Age (days),Created Year
0,gobot,hybridgroup,"golang framework for robotics, drones, and the internet of things (iot)",https://api.github.com/repos/hybridgroup/gobot,Go,2013-09-21 14:09:19+00:00,2024-10-01 15:06:29+00:00,8890,1039,123,Organization,4029,2013
1,cylon,hybridgroup,"javascript framework for robotics, drones, and the internet of things (iot)",https://api.github.com/repos/hybridgroup/cylon,JavaScript,2013-10-18 06:57:08+00:00,2024-09-22 00:38:16+00:00,4196,361,47,Organization,4002,2013
2,artoo,hybridgroup,"ruby framework for robotics, drones, and the internet of things (iot)",https://api.github.com/repos/hybridgroup/artoo,Ruby,2012-08-14 20:31:07+00:00,2024-10-01 07:25:16+00:00,1542,143,20,Organization,4431,2012
3,iot,phodal,"iot, 这是一个最小internet of things ，一个internet of things相关的毕业设计产生的一个简化的物联网系统。 。",https://api.github.com/repos/phodal/iot,Python,2013-12-21 13:01:40+00:00,2024-09-11 23:50:23+00:00,1173,419,0,User,3938,2013
4,sitewhere,sitewhere,"sitewhere is an industrial strength open-source application enablement platform for the internet of things (iot). it provides a multi-tenant microservice-based infrastructure that includes device/asset management, data ingestion, big-data storage, and integration through a modern, scalable architecture.  sitewhere provides rest apis for all system functionality.  sitewhere provides sdks for many common device platforms including android, ios, arduino, and any java-capable platform such as raspberry pi rapidly accelerating the speed of innovation.",https://api.github.com/repos/sitewhere/sitewhere,Java,2014-01-06 19:23:58+00:00,2024-10-02 11:23:49+00:00,1013,383,122,Organization,3921,2014
5,zeus-iot,zmops,"zeus iot is the world's first open source internet of things distributed collection platform based on zabbix, with the ability to collect, analyze, and store data from millions of iot devices.",https://api.github.com/repos/zmops/zeus-iot,Java,2021-07-15 14:56:45+00:00,2024-09-30 07:31:11+00:00,801,174,9,Organization,1175,2021
6,Windows-iotcore-samples,microsoft,official code samples repository for windows 10 internet of things (iot),https://api.github.com/repos/microsoft/Windows-iotcore-samples,C++,2017-10-12 17:52:59+00:00,2024-09-30 08:06:58+00:00,692,676,43,Organization,2546,2017
7,CatSniffer,electroniccats,"catsniffer is an original multiprotocol and multiband board for sniffing, communicating, and attacking iot (internet of things) devices using the latest radio iot protocols. it is a highly portable usb stick that integrates ti cc1352, semtech sx1262, and an rp2040 for v3 or a microchip samd21e17 for v2",https://api.github.com/repos/ElectronicCats/CatSniffer,Python,2020-08-15 02:24:25+00:00,2024-09-29 05:42:37+00:00,546,70,3,Organization,1509,2020
8,iot-dc3,pnoker,"iot dc3 is an open-source distributed internet of things (iot) platform based on spring cloud. it is used for rapid development of iot projects and management of iot devices, providing a comprehensive solution for iot system development.",https://api.github.com/repos/pnoker/iot-dc3,Java,2018-08-28 13:01:37+00:00,2024-09-28 10:40:57+00:00,529,184,3,User,2227,2018
9,OpenIoTHub,openiothub,💖a free iot (internet of things)  platform and private cloud. [一个免费的物联网和私有云平台，支持内网穿透],https://api.github.com/repos/OpenIoTHub/OpenIoTHub,HTML,2019-05-21 07:45:33+00:00,2024-09-23 09:36:46+00:00,482,67,0,Organization,1961,2019
10,cotopaxi,samsung,set of tools for security testing of internet of things devices using specific network iot protocols,https://api.github.com/repos/Samsung/cotopaxi,Python,2019-01-29 08:43:29+00:00,2024-09-12 11:24:04+00:00,351,79,1,Organization,2073,2019
11,awesome-iot-document,phodal,awesome iot documents. [deprecated] internet of things document,https://api.github.com/repos/phodal/awesome-iot-document,JavaScript,2014-11-27 15:37:27+00:00,2024-09-09 08:00:18+00:00,340,155,0,User,3597,2014
12,aws-iot-examples,aws-samples,examples using aws iot (internet of things). deprecated. see readme for updated guidance.,https://api.github.com/repos/aws-samples/aws-iot-examples,JavaScript,2016-01-13 19:35:44+00:00,2024-05-04 19:48:33+00:00,328,136,7,Organization,3184,2016
13,cloud-platform-iot-starterkit,sap-archive,this repository provides information and code for working with sap cloud platform internet of things. it enables users to get an end-to-end iot solution with either real hardware or simulators up and running fast and start their own extensions and usage based on this.,https://api.github.com/repos/SAP-archive/cloud-platform-iot-starterkit,Java,2015-04-22 20:45:56+00:00,2024-09-27 15:51:03+00:00,276,185,8,Organization,3450,2015
14,Internet-of-Things-with-ESP32,packtpublishing,"developing iot projects with esp32, published by packt",https://api.github.com/repos/PacktPublishing/Internet-of-Things-with-ESP32,C,2020-11-24 11:58:35+00:00,2024-09-10 08:31:28+00:00,184,51,4,Organization,1408,2020
15,dcos-iot-demo,amollenkopf,"this project demonstrates how to configure a full stack geo-enabled internet of things (iot) solution using mesosphere's open sourced data center operating system (dc/os) using docker containerization and frameworks for mesos including marathon, kafka, spark, and elasticsearch.",https://api.github.com/repos/amollenkopf/dcos-iot-demo,JavaScript,2016-04-29 20:44:17+00:00,2024-09-02 14:57:23+00:00,112,47,3,User,3077,2016
16,AliOS-Things-Linux-Edition,alibaba,alios things linux edition released by alibaba is an open-source implementation of operating system (os) for internet of things (iot).,https://api.github.com/repos/alibaba/AliOS-Things-Linux-Edition,C,2018-06-14 06:08:09+00:00,2024-08-12 19:39:18+00:00,106,44,2,Organization,2302,2018
17,learn-aws-iot,dwyl,:bulb: learn how to use amazon web services internet of things (iot) service to build connected applications.,https://api.github.com/repos/dwyl/learn-aws-iot,JavaScript,2016-02-10 23:31:08+00:00,2024-04-04 09:38:09+00:00,101,29,12,Organization,3156,2016
18,tenok,tenok-rtos,a linux-like real-time operating system for robotics and the internet of things (iot),https://api.github.com/repos/tenok-rtos/tenok,C,2021-11-16 12:43:57+00:00,2024-08-27 18:12:28+00:00,99,12,8,Organization,1051,2021
19,iot-service-kit,futurice,"internet of things (iot) design kit (cards, maps, 3d printable pieces) for rapid service concept iteration",https://api.github.com/repos/futurice/iot-service-kit,JavaScript,2015-05-13 13:18:41+00:00,2024-05-21 07:22:06+00:00,95,17,0,Organization,3430,2015
20,Internet-of-Things-Event-Learning-Path,microsoft,"the internet of things event learning path is designed for solution architects, business decision makers, and development teams that are interested in building iot solutions with azure services.",https://api.github.com/repos/microsoft/Internet-of-Things-Event-Learning-Path,JavaScript,2020-08-12 21:53:34+00:00,2024-08-19 01:52:13+00:00,91,35,0,Organization,1511,2020
21,OpenDevice,opendevice,open iot (internet of things) platform and framework,https://api.github.com/repos/OpenDevice/OpenDevice,JavaScript,2014-07-17 01:16:17+00:00,2024-06-14 07:44:20+00:00,84,32,161,Organization,3730,2014
22,undercontrol,daraosn,undercontrol.io – open source internet of things iot platform with mqtt and web-sockets for realtime support,https://api.github.com/repos/daraosn/undercontrol,JavaScript,2016-03-02 11:29:44+00:00,2023-09-02 05:59:42+00:00,80,10,2,User,3136,2016
23,key20,duerrfk,"key 2.0 is a bluetooth iot door lock. it turns a conventional electric door lock into a smart door lock that can be opened using a smartphone without the need for a physical key. thus, key20 is the modern version of a physical key, or, as the name suggests, the key version 2.0 for the internet of things (iot) era.",https://api.github.com/repos/duerrfk/key20,Eagle,2016-09-28 07:53:02+00:00,2024-09-29 08:08:30+00:00,77,35,1,User,2926,2016
