,Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Repository Age (days),Created Year
0,Skeleton,dhg,"skeleton: a dead simple, responsive boilerplate for mobile-friendly development",https://api.github.com/repos/dhg/Skeleton,CSS,2011-04-30 20:04:24+00:00,2024-10-01 05:11:04+00:00,19075,3149,141,User,4903,2011
1,Perfect,perfectlysoft,"server-side swift. the perfect core toolset and framework for swift developers. (for mobile back-end development, website and api development, and more…)",https://api.github.com/repos/PerfectlySoft/Perfect,Swift,2015-10-02 18:20:08+00:00,2024-09-30 15:44:50+00:00,13839,945,65,Organization,3287,2015
2,organicmaps,organicmaps,"🍃 organic maps is a free android & ios offline maps app for travelers, tourists, hikers, and cyclists. it uses crowd-sourced openstreetmap data and is developed with love by mapswithme (mapsme) founders and our community. no ads, no tracking, no data collection, no crapware. please donate to support the development!",https://api.github.com/repos/organicmaps/organicmaps,C++,2020-12-27 19:02:26+00:00,2024-10-02 13:11:15+00:00,9657,925,2650,Organization,1374,2020
3,OnsenUI,onsenui,"mobile app development framework and sdk using html5 and javascript. create beautiful and performant cross-platform mobile apps. based on web components, and provides bindings for angular 1, 2, react and vue.js.",https://api.github.com/repos/OnsenUI/OnsenUI,JavaScript,2013-09-11 11:52:41+00:00,2024-10-01 00:57:50+00:00,8826,1013,13,Organization,4039,2013
4,laptop,thoughtbot,a shell script to set up a macos laptop for web and mobile development.,https://api.github.com/repos/thoughtbot/laptop,Shell,2011-05-01 18:18:44+00:00,2024-09-27 19:22:21+00:00,8497,1906,0,Organization,4902,2011
5,nuclide,facebookarchive,"an open ide for web and native mobile development, built on top of atom",https://api.github.com/repos/facebookarchive/nuclide,JavaScript,2015-03-02 05:25:27+00:00,2024-09-27 04:35:45+00:00,7789,683,394,Organization,3502,2015
6,article,wemobiledev,articles by wechat mobile development team,https://api.github.com/repos/WeMobileDev/article,C++,2016-05-09 08:01:17+00:00,2024-09-26 14:04:56+00:00,4332,654,15,Organization,3068,2016
7,defold,defold,"defold is a completely free to use game engine for development of desktop, mobile and web games.",https://api.github.com/repos/defold/defold,C++,2012-05-13 16:03:44+00:00,2024-10-02 15:17:28+00:00,4134,297,1021,Organization,4524,2012
8,amplify-cli,aws-amplify,the aws amplify cli is a toolchain for simplifying serverless web and mobile development.,https://api.github.com/repos/aws-amplify/amplify-cli,TypeScript,2018-08-23 16:33:10+00:00,2024-10-02 02:16:13+00:00,2809,819,719,Organization,2231,2018
9,react-native-starter,flatlogic,🚀a powerful react native starter template that bootstraps development of your mobile application,https://api.github.com/repos/flatlogic/react-native-starter,JavaScript,2018-07-24 13:17:22+00:00,2024-10-01 15:02:00+00:00,2199,709,50,Organization,2262,2018
10,renative,flexn-io,"🚀🚀🚀 unified development platform for ios, tvos, android, android tv, android wear, web, tizen tv, tizen watch, tizen mobile, lg webos, macos/osx, windows, kaios, firefoxos firefox tv platforms",https://api.github.com/repos/flexn-io/renative,TypeScript,2018-07-24 15:46:02+00:00,2024-10-01 08:02:12+00:00,1807,180,68,Organization,2262,2018
11,apollo-universal-starter-kit,sysgears,"apollo universal starter kit is a seo-friendly, fully-configured, modular starter application that helps developers to streamline web, server, and mobile development with cutting-edge technologies and ultimate code reuse.",https://api.github.com/repos/sysgears/apollo-universal-starter-kit,JavaScript,2016-09-08 16:44:45+00:00,2024-09-17 11:50:19+00:00,1683,324,93,Organization,2945,2016
12,boden,ashampoosystems,purely native c++ cross-platform gui framework for android and ios development. https://www.boden.io,https://api.github.com/repos/AshampooSystems/boden,C++,2018-09-26 09:01:46+00:00,2024-09-30 16:50:42+00:00,1672,96,29,Organization,2198,2018
13,XamarinCommunityToolkit,xamarin,"the xamarin community toolkit is a collection of animations, behaviors, converters, and effects for mobile development with xamarin.forms. it simplifies and demonstrates common developer tasks building ios, android, and uwp apps with xamarin.forms.",https://api.github.com/repos/xamarin/XamarinCommunityToolkit,C#,2016-12-22 22:45:24+00:00,2024-09-26 14:10:26+00:00,1587,472,291,Organization,2840,2016
14,AppDevKit,yahoo,appdevkit is an ios development library that provides developers with useful features to fulfill their everyday ios app development needs.,https://api.github.com/repos/yahoo/AppDevKit,Objective-C,2016-06-02 18:11:56+00:00,2024-08-15 11:32:05+00:00,1441,149,1,Organization,3043,2016
15,ring,ring-lang,simple and flexible programming language for applications development,https://api.github.com/repos/ring-lang/ring,C,2016-03-24 10:29:27+00:00,2024-10-02 05:14:59+00:00,1269,432,0,Organization,3114,2016
16,awesome-mobile-web-development,myshov,all that you need to create a great mobile web experience,https://api.github.com/repos/myshov/awesome-mobile-web-development,C++,2018-03-25 19:12:38+00:00,2024-09-03 15:03:04+00:00,1224,61,0,User,2382,2018
17,moko-resources,icerockdev,resources access for mobile (android & ios) kotlin multiplatform development,https://api.github.com/repos/icerockdev/moko-resources,Kotlin,2019-08-28 07:31:58+00:00,2024-10-01 12:46:40+00:00,1080,121,149,Organization,1862,2019
18,moko-mvvm,icerockdev,model-view-viewmodel architecture components for mobile (android & ios) kotlin multiplatform development,https://api.github.com/repos/icerockdev/moko-mvvm,Kotlin,2019-08-28 08:23:07+00:00,2024-09-22 18:41:32+00:00,1022,95,53,Organization,1862,2019
19,secDevLabs,globocom,a laboratory for learning secure web and mobile development in a practical manner.,https://api.github.com/repos/globocom/secDevLabs,PHP,2018-12-01 23:26:50+00:00,2024-09-30 12:21:28+00:00,889,423,20,Organization,2131,2018
20,lunar-unity-console,spacemadness,high-performance unity ios/android logger built with native platform ui,https://api.github.com/repos/SpaceMadness/lunar-unity-console,Java,2015-08-12 06:24:57+00:00,2024-09-29 06:35:11+00:00,844,116,37,Organization,3339,2015
21,CrossApp,9miao,cross-platform mobile app development engine,https://api.github.com/repos/9miao/CrossApp,C++,2014-05-20 01:53:41+00:00,2024-09-20 10:40:12+00:00,836,421,74,User,3788,2014
22,book,dwyl,"📗 our book on full-stack web application development covering user experience (ux) design, mobile/offline/security first, progressive enhancement, continuous integration/deployment, testing (ux/tdd/bdd), performance-driven-development and much more!",https://api.github.com/repos/dwyl/book,Rust,2013-10-20 11:54:06+00:00,2024-08-24 00:02:09+00:00,818,132,65,Organization,4000,2013
23,mbox,mboxplus,toolchain for mobile app development 移动研发工具链,https://api.github.com/repos/MBoxPlus/mbox,Ruby,2021-06-22 03:53:34+00:00,2024-09-19 10:12:24+00:00,796,87,6,Organization,1198,2021
24,Restaurant-App,chayxana,"restaurant app 🍔   is a sample open-source e-commerce 🛒   application for ordering foods, powered by polyglot microservices architecture and cross-platform development including mobile and web",https://api.github.com/repos/chayxana/Restaurant-App,C#,2016-02-17 10:41:35+00:00,2024-09-23 23:29:03+00:00,730,270,18,Organization,3150,2016
25,hello_imgui,pthom,"hello, dear imgui: unleash your creativity in app development and prototyping",https://api.github.com/repos/pthom/hello_imgui,C++,2020-06-07 01:24:52+00:00,2024-10-01 17:59:32+00:00,657,100,12,User,1578,2020
26,awesome-flutter,nepaul,"💗 a curated list of awesome flutter libraries, tools, tutorials, articles and more.. all you should know about flutter development!",https://api.github.com/repos/nepaul/awesome-flutter,C++,2020-03-06 16:09:09+00:00,2024-10-02 02:32:11+00:00,649,44,0,User,1670,2020
27,Skeleton-Sass,whatsnewsaes,"the (un)official sass version of skeleton (2.0.4): a dead simple, responsive boilerplate for mobile-friendly development",https://api.github.com/repos/WhatsNewSaes/Skeleton-Sass,CSS,2014-12-12 03:11:06+00:00,2024-09-16 14:58:15+00:00,648,129,7,User,3582,2014
28,PropertyCross,tastejs,helping developers select a framework for cross-platform mobile development.,https://api.github.com/repos/tastejs/PropertyCross,JavaScript,2012-09-27 12:41:22+00:00,2024-05-17 16:40:38+00:00,591,215,92,Organization,4388,2012
29,nylo,nylo-core,nylo is the fastest way to build your next flutter mobile app. streamline your projects with nylo's opinionated approach to building flutter apps. develop your next idea  ⚡️,https://api.github.com/repos/nylo-core/nylo,Dart,2020-07-05 18:49:20+00:00,2024-09-28 21:49:27+00:00,588,58,2,Organization,1549,2020
