,Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Repository Age (days),Created Year
0,hoppscotch,hoppscotch,"open source api development ecosystem - https://hoppscotch.io (open-source alternative to postman, insomnia)",https://api.github.com/repos/hoppscotch/hoppscotch,TypeScript,2019-08-21 13:15:24+00:00,2024-10-02 14:34:38+00:00,64160,4429,437,Organization,1869,2019
1,manifesto,opentofu,the opentf manifesto expresses concern over hashicorp's switch of the terraform license from open-source to the business source license (bsl) and calls for the tool's return to a truly open-source license.,https://api.github.com/repos/opentofu/manifesto,HTML,2023-08-13 16:17:24+00:00,2024-10-01 23:11:46+00:00,36214,1093,22,Organization,415,2023
2,penpot,penpot,penpot: the open-source design tool for design and code collaboration,https://api.github.com/repos/penpot/penpot,Clojure,2015-12-29 22:09:07+00:00,2024-10-02 15:40:52+00:00,32865,1653,340,Organization,3199,2015
3,jumpserver,jumpserver,an open-source pam tool alternative to cyberark.  广受欢迎的开源堡垒机。,https://api.github.com/repos/jumpserver/jumpserver,Python,2014-07-04 03:54:59+00:00,2024-10-02 15:57:45+00:00,25232,5310,66,Organization,3743,2014
4,labelImg,humansignal,"labelimg is now part of the label studio community. the popular image annotation tool created by tzutalin is no longer actively being developed, but you can check out label studio, the open source data labeling tool for images, text, hypertext, audio, video and time-series data.",https://api.github.com/repos/HumanSignal/labelImg,Python,2015-09-17 01:33:59+00:00,2024-10-02 03:59:34+00:00,22550,6273,454,Organization,3303,2015
5,grapesjs,grapesjs,free and open source web builder framework. next generation tool for building templates without coding,https://api.github.com/repos/GrapesJS/grapesjs,TypeScript,2016-01-22 00:23:19+00:00,2024-10-02 14:32:53+00:00,22306,4041,26,Organization,3176,2016
6,signoz,signoz,"signoz is an open-source observability platform native to opentelemetry with logs, traces and metrics in a single application. an open-source alternative to datadog, newrelic, etc. 🔥 🖥.   👉  open source application performance monitoring (apm) & observability tool",https://api.github.com/repos/SigNoz/signoz,TypeScript,2021-01-03 12:44:36+00:00,2024-10-02 15:56:39+00:00,18663,1203,1253,Organization,1368,2021
7,cocos2d-x,cocos2d,"cocos2d-x is a suite of open-source, cross-platform, game-development tools utilized by millions of developers across the globe. its core has evolved to serve as the foundation for cocos creator 1.x & 2.x.",https://api.github.com/repos/cocos2d/cocos2d-x,C++,2010-11-18 23:17:00+00:00,2024-10-02 02:08:45+00:00,18162,7052,1607,Organization,5066,2010
8,kotaemon,cinnamon,an open-source rag-based tool for chatting with your documents.,https://api.github.com/repos/Cinnamon/kotaemon,Python,2024-03-25 08:16:42+00:00,2024-10-02 15:41:12+00:00,13332,993,95,Organization,191,2024
9,abp,abpframework,"open-source web application framework for asp.net core! offers an opinionated architecture to build enterprise software solutions with best practices on top of the .net. provides the fundamental infrastructure, cross-cutting-concern implementations, startup templates, application modules, ui themes, tooling and documentation.",https://api.github.com/repos/abpframework/abp,C#,2016-12-03 22:56:24+00:00,2024-10-02 12:51:57+00:00,12806,3414,651,Organization,2859,2016
10,MOSS,openmoss,an open-source tool-augmented conversational language model from fudan university,https://api.github.com/repos/OpenMOSS/MOSS,Python,2023-04-15 14:07:44+00:00,2024-10-02 11:04:16+00:00,11928,1146,241,Organization,536,2023
11,MinerU,opendatalab,"a one-stop, open-source, high-quality data extraction tool, supports pdf/webpage/e-book extraction.一站式开源高质量数据提取工具，支持pdf/网页/多格式电子书提取。",https://api.github.com/repos/opendatalab/MinerU,Python,2024-02-29 08:52:34+00:00,2024-10-02 15:54:31+00:00,11778,889,148,Organization,216,2024
12,botkit,howdyai,"botkit is an open source developer tool for building chat bots, apps and custom integrations for major messaging platforms.",https://api.github.com/repos/howdyai/botkit,TypeScript,2015-12-11 21:21:12+00:00,2024-10-01 05:59:07+00:00,11464,2283,46,Organization,3217,2015
13,illa-builder,illacloud,"low-code platform allows you to build business apps, enables you to quickly create internal tools such as dashboard, crud app, admin panel, crm, cms, etc. supports postgresql, mysql, supabase, graphql, mongodb, mssql, rest api, hugging face, redis, etc. automate workflows with schedule or webhook. open source retool.",https://api.github.com/repos/illacloud/illa-builder,TypeScript,2022-04-18 04:55:57+00:00,2024-10-02 09:43:45+00:00,11444,1087,37,Organization,898,2022
14,OpenRefine,openrefine,"openrefine is a free, open source power tool for working with messy data and improving it",https://api.github.com/repos/OpenRefine/OpenRefine,Java,2012-10-15 02:22:48+00:00,2024-10-02 15:36:43+00:00,10814,1948,673,Organization,4370,2012
15,prowler,prowler-cloud,"prowler is an open source security tool for aws, azure, gcp and kubernetes to do security assessments, audits, incident response, compliance, continuous monitoring, hardening and forensics readiness. includes cis, nist 800, nist csf, cisa, fedramp, pci-dss, gdpr, hipaa, ffiec, soc2, gxp, well-architected security, ens and more",https://api.github.com/repos/prowler-cloud/prowler,Python,2016-08-24 15:12:24+00:00,2024-10-02 15:27:44+00:00,10644,1512,54,Organization,2961,2016
16,kepler.gl,keplergl,kepler.gl is a powerful open source geospatial analysis tool for large-scale data sets.,https://api.github.com/repos/keplergl/kepler.gl,TypeScript,2018-02-28 21:36:16+00:00,2024-10-02 08:25:06+00:00,10292,1727,628,Organization,2407,2018
17,activepieces,activepieces,your friendliest open source all-in-one automation tool ✨ workflow automation tool 200+ integration / enterprise automation tool / zapier alternative,https://api.github.com/repos/activepieces/activepieces,TypeScript,2022-12-03 02:52:46+00:00,2024-10-02 13:12:09+00:00,9457,1118,135,Organization,669,2022
18,doccano,doccano,open source annotation tool for machine learning practitioners.,https://api.github.com/repos/doccano/doccano,Python,2018-05-09 06:10:05+00:00,2024-10-02 09:27:44+00:00,9456,1719,343,Organization,2338,2018
19,datasette,simonw,an open source multi-tool for exploring and publishing data,https://api.github.com/repos/simonw/datasette,Python,2017-10-23 00:39:03+00:00,2024-10-02 11:39:04+00:00,9439,676,603,User,2536,2017
20,jsonhero-web,triggerdotdev,"json hero is an open-source, beautiful json explorer for the web that lets you browse, search and navigate your json files at speed. 🚀. built with 💜 by the trigger.dev team.",https://api.github.com/repos/triggerdotdev/jsonhero-web,TypeScript,2022-03-01 09:33:29+00:00,2024-10-02 10:16:49+00:00,9412,511,66,Organization,946,2022
21,Red-Teaming-Toolkit,infosecn1nja,this repository contains cutting-edge open-source security tools (ost) for a red teamer and threat hunter.,https://api.github.com/repos/infosecn1nja/Red-Teaming-Toolkit,Python,2018-04-26 13:35:09+00:00,2024-10-02 11:36:44+00:00,9005,2188,0,User,2351,2018
22,my-arsenal-of-aws-security-tools,toniblyx,"list of open source tools for aws security: defensive, offensive, auditing, dfir, etc.",https://api.github.com/repos/toniblyx/my-arsenal-of-aws-security-tools,Shell,2018-07-18 19:48:36+00:00,2024-10-02 13:12:05+00:00,8916,1507,3,User,2267,2018
23,fiftyone,voxel51,the open-source tool for building high-quality datasets and computer vision models,https://api.github.com/repos/voxel51/fiftyone,Python,2020-04-22 13:43:28+00:00,2024-10-02 15:57:18+00:00,8652,548,488,Organization,1624,2020
24,jmeter,apache,apache jmeter open-source load testing tool for analyzing and measuring the performance of a variety of services,https://api.github.com/repos/apache/jmeter,Java,2010-05-26 23:38:07+00:00,2024-10-02 15:26:38+00:00,8295,2089,870,Organization,5242,2010
25,awesome-cloudflare,zhuima,"⛅️ 精选的 cloudflare 工具、开源项目、指南、博客和其他资源列表。/ ⛅️ a curated list of cloudflare tools, open source projects, guides, blogs and other resources.",https://api.github.com/repos/zhuima/awesome-cloudflare,Python,2024-04-07 02:19:38+00:00,2024-10-02 14:51:56+00:00,8230,618,1,User,178,2024
